title,link,cn,type
SCP-CN-001-J - DLC,/scp-cn-001-j,true,joke
SCP-CN-001-J - 7Starsseeker的提案,/scp-cn-001-j-7s,true,joke
SCP-CN-002-J - 工作指令,/scp-cn-002-j,true,joke
SCP-CN-010-J - 一篇“有气势”的SCP文档（物理）,/scp-cn-010-j,true,joke
SCP-CN-013-J - 合你心意的游戏,/scp-cn-013-j,true,joke
SCP-CN-017-J - 聪明绝顶,/scp-cn-017-j,true,joke
SCP-CN-019-J - “写小说死路一条”,/scp-cn-019-j,true,joke
SCP-CN-034-J - 固有印象铲,/scp-cn-034-j,true,joke
SCP-CN-048-J - 中二病体验器,/scp-cn-048-j,true,joke
SCP-CN-052-J - “这倒霉孩子！”,/scp-cn-052-j,true,joke
SCP-CN-083-J - 世界的恶意﹒电影院,/scp-cn-083-j,true,joke
SCP-CN-123-J - 到底需要几个小便池？,/scp-cn-123-j,true,joke
SCP-CN-156-J - 形容词强迫症,/scp-cn-156-j,true,joke
SCP-CN-166-J - 红唇之神,/scp-cn-166-j,true,joke
SCP-CN-213-J - 神奇象拔蚌,/scp-cn-213-j,true,joke
SCP-CN-233-J - 禁忌之笔,/scp-cn-233-j,true,joke
SCP-CN-322-J - 走到哪炸到哪,/scp-cn-322-j,true,joke
SCP-CN-393-J - 反叙事型拖延症,/scp-cn-393-j,true,joke
SCP-CN-404-J - 模因触媒失效事件,/scp-cn-404-j,true,joke
SCP-CN-404½-J - “这是个假基金会！”,/scp-cn-404-half-j,true,joke
SCP-CN-421-J - 了不起的萝卜,/scp-cn-421-j,true,joke
SCP-CN-444-J - 养啥死啥,/scp-cn-444-j,true,joke
SCP-CN-529-J - 黄油猫悖论,/scp-cn-529-j,true,joke
SCP-CN-541-J - 成语接龙,/scp-cn-541-j,true,joke
SCP-CN-555-J - 疼死个人啦！,/scp-cn-555-j,true,joke
SCP-CN-611-J - 《基金会幼儿启蒙教育丛书 (共8册) 》,/scp-cn-611-j,true,joke
SCP-CN-666-J - 喵喵喵,/scp-cn-666-j,true,joke
SCP-CN-667-J - 三倍的喵喵喵,/scp-cn-667-j,true,joke
SCP-CN-749-J - 我看这把就不错！,/scp-cn-749-j,true,joke
SCP-CN-777-J - 何謂正義,/scp-cn-777-j,true,joke
SCP-CN-963-J - 神烦代码,/scp-cn-963-j,true,joke
SCP-CN-999-J - GOC的招聘启事,/scp-cn-999-j,true,joke
SCP-CN-1564-J - 春之█,/scp-cn-1564-j,true,joke
SCP-CN-2000-J - 基金会的奇妙黑科技,/scp-cn-2000-j,true,joke
SCP-CN-1M-J - 湖中劍協議,/scp-cn-1m-j,true,joke
SCP-CN-ZZZ-J - 赖床公主,/scp-cn-zzz-j,true,joke
Groups Of Interest-CN-J - "馄饨分裂者",/wontoninsurgency,true,joke
SITE███的研究员关于将SCP拍成电影的技术讨论-J - SITE███的研究员关于将SCP拍成电影的技术讨论-J,/site-researcher-on-the-scp-into-a-film-technical-discussion,true,joke
基金會精神戰力手冊,/handbook-of-morale,true,joke
标准GEC员工守则(又名十万个怎么炸?)-标准GEC员工守则(又名十万个怎么炸？),http://scp-wiki-cn.wikidot.com/how-to-become-a-gecer,true,joke
音速挑战者播放器Sonic Challenger Player,/sonic-challenger-player,true,joke
面向基金会新人的写作指南（反向）,http://scp-wiki-cn.wikidot.com/freshman,true,joke
关于一次收容失效的详细报告,http://scp-wiki-cn.wikidot.com/breach,true,joke
The Global Explosion Coalition -全球轰炸联盟中心页,http://scp-wiki-cn.wikidot.com/gec-hub-page,true,joke
世界美食联合委员会,http://scp-wiki-cn.wikidot.com/tasty-food-association,true,joke
全球轰炸联盟未被重视的轰炸记录,http://scp-wiki-cn.wikidot.com/gec-bomb-record,true,joke
